trial	subject	repetition	x	y	random
train	rat7	0	0.10071063	0.1628427	false
train	rat7	0	0.09071063	0.1628427	false
train	rat7	0	0.080710635	0.1628427	false
train	rat7	0	0.07071064	0.1628427	false
train	rat7	0	0.07071063	0.15284272	false
train	rat7	0	0.07071063	0.14284271	false
train	rat7	0	0.060710628	0.14284271	false
train	rat7	0	0.05071063	0.14284271	false
train	rat7	0	0.043639563	0.14991379	false
train	rat7	0	0.043639567	0.1599138	false
train	rat7	0	0.04363957	0.16991378	false
train	rat7	0	0.036568504	0.17698486	false
train	rat4	1	0.01	-0.35	false
train	rat4	1	0.017071066	-0.35707107	false
train	rat4	1	0.024142135	-0.36414212	false
train	rat4	1	0.031213202	-0.3712132	false
train	rat4	1	0.03828427	-0.36414212	false
train	rat4	1	0.04535534	-0.35707107	false
train	rat4	1	0.052426405	-0.35	false
train	rat4	1	0.052426405	-0.34	false
train	rat4	1	0.059497472	-0.34707105	false
train	rat4	1	0.052426405	-0.35414213	false
train	rat4	1	0.059497472	-0.3612132	false
train	rat4	1	0.06656854	-0.36828426	false
train	rat4	1	0.07363961	-0.37535533	false
train	rat4	1	0.08071068	-0.3824264	false
train	rat4	1	0.08778174	-0.38949746	false
train	rat4	1	0.09485281	-0.39656854	false
train	rat4	1	0.10192388	-0.4036396	false
train	rat4	1	0.09485281	-0.41071066	false
train	rat4	1	0.10192388	-0.41778174	false
train	rat4	1	0.108994946	-0.41071066	false
train	rat4	1	0.116066016	-0.40363958	false
train	rat4	1	0.12313708	-0.39656854	false
train	rat4	1	0.13020815	-0.38949746	false
train	rat4	1	0.13727921	-0.38242638	false
train	rat4	1	0.14435028	-0.37535533	false
train	rat4	1	0.15142135	-0.36828426	false
train	rat4	1	0.15849242	-0.36121318	false
train	rat4	1	0.16556348	-0.35414213	false
train	rat4	1	0.15556349	-0.35414213	false
train	rat4	1	0.14556348	-0.35414213	false
train	rat4	1	0.15263455	-0.34707105	false
train	rat4	1	0.14556348	-0.33999997	false
train	rat4	1	0.13849242	-0.33292893	false
train	rat4	1	0.13142134	-0.32585785	false
train	rat4	1	0.12435028	-0.3187868	false
train	rat4	1	0.11727921	-0.31171572	false
train	rat4	1	0.11020814	-0.30464464	false
train	rat4	1	0.10313707	-0.2975736	false
train	rat4	1	0.096066006	-0.29050252	false
train	rat4	1	0.086066	-0.29050252	false
train	rat4	1	0.09313707	-0.2975736	false
train	rat4	1	0.10020814	-0.30464464	false
train	rat4	1	0.107279204	-0.2975736	false
train	rat4	1	0.10020814	-0.29050252	false
train	rat4	1	0.107279204	-0.28343144	false
train	rat4	1	0.11435027	-0.2763604	false
train	rat4	1	0.12142134	-0.2692893	false
train	rat4	1	0.1284924	-0.26221824	false
train	rat4	1	0.13556346	-0.2551472	false
train	rat4	1	0.14263454	-0.24807611	false
train	rat4	1	0.1497056	-0.24100503	false
train	rat4	1	0.15677667	-0.23393397	false
train	rat4	1	0.16384773	-0.22686289	false
train	rat4	1	0.1709188	-0.21979183	false
